eventId,userId,hintType,eventType,action,modalType,challengeId,exerciseId,exerciseIndex,attemptNumber,timestamp
moUW7GS3AVpR93d3bDcS,BMoJ0ooDLgc8USK7WVIAQRB0J433,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-1,0.0,1.0,21:27:56
mxzcS73UZR8zoGfWdLLs,USpySgtjrtQluhGvGY1x6htXlub2,visual,ui,modal_open,visual,challenge-02,,,,11:50:36
mywUqS6lovBkfabc1ihh,SpkysL7WcUgpILEQovruJSrPCV43,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-3,2.0,1.0,08:00:36
n2BZq3a9C1Kve0ox4Y3O,4ymQ69qFixb38txdo6V1AMYF5dJ2,kinesthetic,hint,kinesthetic_run,,challenge-04,challenge-04-kinesthetic-1,0.0,1.0,12:39:36
n8oJ9cbEkhnkX1ek6JAl,CVYhBxKyTge5rs6FjbQ9p9K8DVt1,kinesthetic,hint,kinesthetic_run,,challenge-02,challenge-02-kinesthetic-1,0.0,1.0,22:04:56
nA6NRDIqyodAqPPcuNQi,t4QPb6DjzsPKwFBzE49FhVjrqVy1,reading,ui,modal_open,read,challenge-04,,,,16:20:07
nBKe1QQfoRfUYlKKKeib,EduFuSCFqHgn1bYFL9sG2tKYl3P2,kinesthetic,hint,kinesthetic_run,,challenge-02,challenge-02-kinesthetic-1,0.0,1.0,07:19:44
nBq6tnv8tNVqFIz3Dkwg,e0QPOPuIN9c2S1v9AG1wSRVqcrI3,aural,hint,aural_used,,challenge-01,,,,08:40:29
nCmZTu4YRHmwPDzJchKe,VgHstR4KWUXzzAFFdPgvq0Vm4Tf1,visual,ui,modal_open,visual,challenge-01,,,,07:42:40
nF1JoCXdDU18hXsdgBTC,2Ky12YUgbQhZ5PutHq2Ox7KdUNd2,visual,ui,modal_open,visual,challenge-03,,,,16:55:16
nFMJtypBmJ0K43cLltCg,USpySgtjrtQluhGvGY1x6htXlub2,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-3,2.0,1.0,12:16:06
nGbO6yTBemPS1JCAaOp4,mza1ZXiCGsSi9R80RsB2aZyZlw13,visual,ui,modal_open,visual,challenge-01,,,,08:55:49
nIFOMEWaYmDjLh6xi1jf,vLlWkjvqyFPgjAPK59lecUxyi8U2,aural,hint,aural_used,,challenge-04,,,,08:57:59
nJZOwO1m4Vx4SrHGOWMX,OohtQ6fIyYaVBb9NMaq1i5YoeXH2,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-1,0.0,1.0,17:19:15
nOBuOIUzDssoufzd2vLr,GCvm1dWkxGVmLQjiiMlNRSL2eln1,kinesthetic,hint,kinesthetic_run,,challenge-04,challenge-04-kinesthetic-2,1.0,1.0,05:55:42
